"","UniProtID","Selaginella moellendorffii","Amborella trichopoda","Dioscorea rotundata","Musa acuminata","Zea mays","Sorghum bicolor","Setaria italica","Leersia perrieri","Oryza barthii","Oryza meridionalis","Oryza glumaepatula","Oryza glaberrima","Oryza punctata","O. Sativa","Oryza indica","Oryza nivara","Oryza brachyantha","Oryza rufipogon","Oryza longistaminata","Brachypodium distachyon","Aegilops tauschii","Triticum dicoccoides","Triticum urartu","Triticum aestivum","Hordeum vulgare","Beta vulgaris","Nicotiana attenuata","Solanum lycopersicum","Solanum tuberosum","Helianthus annuus","Daucus carota","Vitis vinifera","Lupinus angustifolius","Trifolium pratense","Medicago truncatula","Vigna radiata","Vigna angularis","Phaseolus vulgaris","Glycine max","Prunus persica","Manihot esculenta","Populus trichocarpa","Cucumis sativus","Brassica oleracea","Brassica rapa","Brassica napus","Arabidopsis lyrata","Arabidopsis thaliana","Arabidopsis halleri","Corchorus capsularis","Gossypium raimondii","Theobroma cacao","Physcomitrella patens","Ostreococcus lucimarinus","Chlamydomonas reinhardtii","Galdieria sulphuraria","Cyanidioschyzon merolae","Chondrus crispus"
"1","Q52RG7","SELMODRAFT_410502,SELMODRAFT_411607",NA,"Dr09863","GSMUA_Achr6G06370_001","Zm00001d008389","SORBI_3003G109100","SETIT_000972mg","LPERR01G00060","OBART01G00090",NA,"OGLUM01G00080","ORGLA01G0000100","OPUNC01G00070","OS01G0100900","BGIOSGA002576","ONIVA01G00170","OB01G10060","ORUFI01G00080","KN538826.1_FG024","BRADI_2g03740v3","AET3Gv20183300","TRIDC3AG010280,TRIDC3BG013920","TRIUR3_09166","TraesCS3A02G085400,TraesCS3B02G100600,TraesCS3D02G085400","HORVU3Hr1G015150","BVRB_6g150440","A4A49_05213","Solyc05g015860.3","PGSC0003DMG400019810","HannXRQ_Chr08g0209781,HannXRQ_Chr08g0209891","DCAR_024662","VIT_01s0010g03940","TanjilG_11941","Tp57577_TGAC_v2_gene2913","MTR_7g022310","vigra.VC1973A.gnm6.ann1.Vradi04g10310","LR48_Vigan03g010800","PHAVU_008G017200g","GLYMA_02G097200,GLYMA_18G284300","PRUPE_1G222900","MANES_12G008600","POPTR_003G168800v3","Csa_6G094720","Bo3g143000","Bra010909","GSBRNA2T00049975001,GSBRNA2T00150637001","fgenesh2_kg.1__2954__AT1G27980.1","AT1G27980","g12946","CCACVL1_05340","B456_002G181300","TCM_008631","Pp3c25_6390","OSTLU_119543","CHLRE_03g155051v5",NA,"CMT631C",NA
"2","Q9FTZ2","SELMODRAFT_449563,SELMODRAFT_449597,SELMODRAFT_449598,SELMODRAFT_449599","AMTR_s00002p00072230",NA,"GSMUA_Achr6G06170_001",NA,"SORBI_3003G106600,SORBI_3003G106800","SETIT_002887mg","LPERR01G00200,LPERR01G36290","OBART01G00270",NA,"OGLUM01G00250","ORGLA01G0002100","OPUNC01G00240","OS01G0103600","BGIOSGA002561","ONIVA01G00190","OB06G24600,OB11G21170","ORUFI01G00230",NA,"BRADI_2g03530v3","AET3Gv20173900","TRIDC3AG009460,TRIDC3BG013320","TRIUR3_10786","TraesCS3A02G079400,TraesCS3B02G094700,TraesCS3D02G079800,TraesCS7D02G068300","HORVU3Hr1G014290","BVRB_8g193480,BVRB_8g193590","A4A49_31897","Solyc06g082980.3","PGSC0003DMG400027684","HannXRQ_Chr04g0124971","DCAR_019172","VIT_06s0004g02100","TanjilG_22310","Tp57577_TGAC_v2_gene21858,Tp57577_TGAC_v2_gene38962","MTR_6g084920","vigra.VC1973A.gnm6.ann1.Vradi01g04390","LR48_Vigan10g019100","PHAVU_004G160000g","GLYMA_09G186700,GLYMA_09G186800,GLYMA_09G186900","PRUPE_1G211800","MANES_12G130500","POPTR_001G070300v3,POPTR_003G160500v3","Csa_4G007050","Bo5g029120","Bra012204,Bra025788","GSBRNA2T00022402001,GSBRNA2T00042955001,GSBRNA2T00076632001,GSBRNA2T00079685001","fgenesh2_kg.1__2185__AT1G20050.1","AT1G20050","g13839","CCACVL1_08116,CCACVL1_21756","B456_006G002800","TCM_003533","Pp3c9_19720",NA,"CHLRE_12g557900v5",NA,NA,NA
"3","Q8W250","SELMODRAFT_229487,SELMODRAFT_229643","AMTR_s00058p00194850","Dr06953","GSMUA_Achr2G22890_001,GSMUA_Achr3G20790_001","Zm00001d008427,Zm00001d040163","SORBI_3003G103300","SETIT_001299mg","LPERR01G00440","OBART01G00500",NA,"OGLUM01G00520","ORGLA01G0004200,ORGLA07G0231200","OPUNC01G00440","OS01G0106900","BGIOSGA002548","ONIVA01G00460","OB01G10450","ORUFI01G00480","KN538831.1_FG021","BRADI_2g00650v3","AET3Gv20000300,AET7Gv20119900","TRIDC3AG003200,TRIDC3BG000140,TRIDC4AG064240,TRIDC7AG005840","TRIUR3_02082,TRIUR3_29442","TraesCS3A02G001700,TraesCS3B02G000700,TraesCS4A02G442600,TraesCS7A02G056000,TraesCS7D02G050900,TraesCSU02G056300","HORVU3Hr1G000390","BVRB_5g117060",NA,"Solyc03g114340.3","PGSC0003DMG400024503","HannXRQ_Chr05g0153451,HannXRQ_Chr05g0156211,HannXRQ_Chr09g0272201,HannXRQ_Chr16g0517311","DCAR_026133","VIT_17s0000g08390","TanjilG_25308,TanjilG_27581,TanjilG_29079,TanjilG_31487","Tp57577_TGAC_v2_gene31563,Tp57577_TGAC_v2_gene37486","MTR_4g106870,MTR_8g012565","vigra.VC1973A.gnm6.ann1.Vradi07g14770,vigra.VC1973A.gnm6.ann1.Vradi09g08310","LR48_Vigan01g236600","PHAVU_003G200300g,PHAVU_010G023000g","GLYMA_05G037500,GLYMA_16G089000,GLYMA_17G089600","PRUPE_5G174000","MANES_06G104700,MANES_14G065900","POPTR_012G080900v3,POPTR_015G076200v3","Csa_1G004930","Bo3g107120,Bo9g015200","Bra010123,Bra035881","GSBRNA2T00020045001,GSBRNA2T00094633001,GSBRNA2T00109912001,GSBRNA2T00141493001","scaffold_802953.1","AT5G62790","g12277","CCACVL1_12407","B456_006G189200,B456_007G001700","TCM_012070","Pp3c24_8730,Pp3c8_12290","OSTLU_31255","CHLRE_12g546050v5","Gasu_57430","CMG148C","CHC_T00009191001"
"4","Q0JR55","SELMODRAFT_121992,SELMODRAFT_92791","AMTR_s00006p00177250",NA,NA,"Zm00001d008493,Zm00001d040076","SORBI_3003G095800","SETIT_001555mg","LPERR01G01170","OBART01G01200","OMERI01G00680","OGLUM01G01330","ORGLA01G0010900","OPUNC01G01030,OPUNC01G01040","OS01G0118300","BGIOSGA002655","ONIVA01G01390","OB01G11220","ORUFI01G01260","KN540570.1_FG003","BRADI_2g01370v3","AET3Gv20051500","TRIDC3AG001120,TRIDC3BG003970","TRIUR3_08324","TraesCS3A02G021500,TraesCS3B02G024600,TraesCS3D02G025400","HORVU3Hr1G002790","BVRB_1g011180","A4A49_26601","Solyc04g007520.3,Solyc05g008580.3","PGSC0003DMG400030564","HannXRQ_Chr14g0459241,HannXRQ_Chr17g0553131","DCAR_030184","VIT_01s0011g04370,VIT_17s0000g03010","TanjilG_15829,TanjilG_18346,TanjilG_30305","Tp57577_TGAC_v2_gene4874","MTR_1g109120","vigra.VC1973A.gnm6.ann1.Vradi08g20860","LR48_Vigan609s000100","PHAVU_007G034000g","GLYMA_10G268300,GLYMA_20G122800","PRUPE_1G319700","MANES_06G063400,MANES_14G109300","POPTR_008G126100v3,POPTR_010G117500v3","Csa_5G576650,Csa_5G611040","Bo5g020540,Bo8g106230",NA,"GSBRNA2T00059714001,GSBRNA2T00059785001,GSBRNA2T00068175001,GSBRNA2T00136622001","fgenesh2_kg.1__1653__AT1G15110.1","AT1G15110","g10073","CCACVL1_20976","B456_006G006000,B456_008G157600","TCM_009019","Pp3c26_4170,Pp3c4_15740","OSTLU_3295",NA,NA,NA,NA
"5","Q0JR06",NA,"AMTR_s00079p00140660",NA,"GSMUA_Achr10G19840_001,GSMUA_Achr11G13200_001,GSMUA_Achr1G21020_001,GSMUA_Achr2G22640_001,GSMUA_Achr3G01370_001,GSMUA_Achr3G21060_001,GSMUA_Achr6G09760_001,GSMUA_Achr8G18460_001","Zm00001d008528,Zm00001d040019","SORBI_3003G087600","SETIT_003873mg","LPERR01G01750","OBART01G01830","OMERI01G01310","OGLUM01G02010","ORGLA01G0016500","OPUNC01G01580","OS01G0128000","BGIOSGA002469","ONIVA01G01990","OB01G11750","ORUFI01G01910","KN541795.1_FG002","BRADI_2g01960v3","AET3Gv20069200","TRIDC3AG005070,TRIDC3BG005370","TRIUR3_09345","TraesCS3A02G044700,TraesCS3B02G039100,TraesCS3D02G036200","HORVU3Hr1G004050","BVRB_6g141520","A4A49_24145,A4A49_36386","Solyc03g119370.2,Solyc05g009230.2","PGSC0003DMG400005641,PGSC0003DMG400014550","HannXRQ_Chr08g0213601,HannXRQ_Chr11g0325431,HannXRQ_Chr14g0430761,HannXRQ_Chr17g0552341,HannXRQ_Chr17g0567551,HannXRQ_Chr17g0567561","DCAR_023650,DCAR_030168","VIT_01s0011g03730,VIT_17s0000g03560","TanjilG_15849,TanjilG_29228,TanjilG_32798","Tp57577_TGAC_v2_gene15175,Tp57577_TGAC_v2_gene4845","MTR_1g110460","vigra.VC1973A.gnm6.ann1.Vradi07g27760","LR48_Vigan02g246400,LR48_Vigan10g022500,LR48_Vigan847s001900","PHAVU_002G317000g,PHAVU_003G094600g,PHAVU_007G028700g","GLYMA_05G234600,GLYMA_07G092800,GLYMA_08G042100,GLYMA_09G183400,GLYMA_10G273000,GLYMA_20G117000","PRUPE_1G313300,PRUPE_5G222400","MANES_05G114400,MANES_06G066600,MANES_14G104200,MANES_S048300","POPTR_008G122100v3,POPTR_010G123000v3,POPTR_012G055600v3,POPTR_015G046200v3","Csa_6G040640","Bo2g057760,Bo5g043390,Bo6g097180,Bo6g106730,Bo7g050560","Bra004041,Bra004297,Bra012482,Bra024760,Bra033948","GSBRNA2T00013352001,GSBRNA2T00070235001,GSBRNA2T00074286001,GSBRNA2T00088169001,GSBRNA2T00093687001,GSBRNA2T00102070001,GSBRNA2T00113102001,GSBRNA2T00117331001,GSBRNA2T00142385001","fgenesh1_pg.C_scaffold_2001171","AT1G25340,AT1G68320","g08163,g14768","CCACVL1_04724,CCACVL1_22656","B456_001G075000,B456_002G218600,B456_006G060300,B456_008G287100","TCM_009642,TCM_012363",NA,NA,NA,NA,NA,NA
"6","Q943R3","SELMODRAFT_42312,SELMODRAFT_43458",NA,NA,"GSMUA_Achr1G21130_001,GSMUA_Achr2G14630_001,GSMUA_Achr6G03300_001,GSMUA_Achr8G17930_001","Zm00001d008570,Zm00001d039963","SORBI_3003G083200","SETIT_001447mg","LPERR01G02090","OBART01G02270","OMERI01G02160","OGLUM01G02400","ORGLA01G0019200","OPUNC01G01940","OS01G0134700","BGIOSGA002720","ONIVA01G02440","OB01G12150","ORUFI01G02340","KN538959.1_FG010","BRADI_2g02310v3","AET3Gv20082300","TRIDC3AG004090,TRIDC3BG006190","TRIUR3_22931","TraesCS3A02G037700,TraesCS3B02G045900,TraesCS3D02G041800","HORVU3Hr1G007290","BVRB_5g111120","A4A49_40037,A4A49_43559","Solyc03g119250.3,Solyc12g036390.2","PGSC0003DMG400005390,PGSC0003DMG400005649","HannXRQ_Chr17g0558321","DCAR_023217","VIT_17s0000g03370,VIT_17s0000g03380,VIT_17s0000g03390","TanjilG_22287,TanjilG_32808","Tp57577_TGAC_v2_gene32681,Tp57577_TGAC_v2_gene32685","MTR_6g083320,MTR_6g083730,MTR_8g104490,MTR_8g104510","vigra.VC1973A.gnm6.ann1.Vradi01g04750,vigra.VC1973A.gnm6.ann1.Vradi07g27840","LR48_Vigan232s001900,LR48_Vigan847s000800","PHAVU_002G318100g,PHAVU_004G155900g","GLYMA_05G237200,GLYMA_07G093900,GLYMA_08G044400,GLYMA_09G182400","PRUPE_5G223600","MANES_01G014500,MANES_S034100","POPTR_012G054900v3,POPTR_015G045300v3",NA,"Bo6g087500,Bo6g118100","Bra003828,Bra015964","GSBRNA2T00049054001,GSBRNA2T00099474001,GSBRNA2T00103456001","scaffold_202318.1","AT1G73805","g04130","CCACVL1_29608","B456_006G059900,B456_008G287500","TCM_012384","Pp3c10_2870",NA,NA,NA,NA,NA
"7","Q0JQF9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OS01G0164800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tp57577_TGAC_v2_gene18982",NA,NA,NA,"PHAVU_006G005900g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Q0JQF8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OS01G0164900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Q5VQG8","SELMODRAFT_171289,SELMODRAFT_176918","AMTR_s00011p00049200",NA,"GSMUA_Achr10G20770_001,GSMUA_Achr3G20730_001,GSMUA_Achr6G08900_001","Zm00001d008700,Zm00001d039691","SORBI_3003G052700","SETIT_001052mg","LPERR01G04160","OBART01G04500","OMERI01G04440","OGLUM01G04920","ORGLA01G0041100","OPUNC01G04290","OS01G0169800","BGIOSGA002304","ONIVA01G04950","OB01G14240","ORUFI01G04690","KN538799.1_FG008","BRADI_2g04290v3","AET1Gv20582900,AET3Gv20201800","TRIDC1AG035170,TRIDC1BG041120,TRIDC3AG011180,TRIDC3BG015070","TRIUR3_06775,TRIUR3_28891","TraesCS1A02G233800,TraesCS1B02G249600,TraesCS1D02G238100,TraesCS3A02G093000,TraesCS3B02G108200,TraesCS3D02G093300","HORVU3Hr1G016490","BVRB_5g117730,BVRB_6g148060","A4A49_02796","Solyc03g112460.3,Solyc05g031600.2,Solyc06g071640.3","PGSC0003DMG400007680,PGSC0003DMG400007681,PGSC0003DMG400018110,PGSC0003DMG400018931,PGSC0003DMG400025405,PGSC0003DMG400027079,PGSC0003DMG400029970,PGSC0003DMG400046885","HannXRQ_Chr07g0197631,HannXRQ_Chr11g0348361,HannXRQ_Chr16g0504651,HannXRQ_Chr17g0569941","DCAR_007465,DCAR_024445,DCAR_026162","VIT_00s0225g00230,VIT_00s0394g00040,VIT_17s0000g08990","TanjilG_20724,TanjilG_25564,TanjilG_27565,TanjilG_31471","Tp57577_TGAC_v2_gene17780,Tp57577_TGAC_v2_gene37452,Tp57577_TGAC_v2_gene38787","MTR_3g077250,MTR_4g105220,MTR_5g033510,MTR_5g033520","vigra.VC1973A.gnm6.ann1.Vradi0223s00120,vigra.VC1973A.gnm6.ann1.Vradi11g09740","LR48_Vigan01g233000,LR48_Vigan03g318400,LR48_Vigan04g065600","PHAVU_002G059200g,PHAVU_003G203500g,PHAVU_009G175300g","GLYMA_01G027400,GLYMA_02G037600,GLYMA_04G186700,GLYMA_05G040400,GLYMA_06G179000,GLYMA_17G086500","PRUPE_1G248200,PRUPE_1G248300,PRUPE_5G168300","MANES_12G024800,MANES_14G062400","POPTR_008G187800v3,POPTR_010G044500v3,POPTR_012G083300v3,POPTR_015G081900v3",NA,"Bo1g039220,Bo2g068320,Bo5g039430,Bo5g039440,Bo6g112150","Bra007924,Bra013823,Bra016203,Bra024582,Bra024585","GSBRNA2T00030731001,GSBRNA2T00030967001,GSBRNA2T00056336001,GSBRNA2T00079581001,GSBRNA2T00079585001,GSBRNA2T00116079001,GSBRNA2T00116561001,GSBRNA2T00119371001","fgenesh1_pg.C_scaffold_1002142,fgenesh2_kg.2__1312__AT1G70560.1,fgenesh2_kg.7__1807__AT4G24670.2","AT1G23320,AT1G70560,AT4G24670","g03796,g10356,g13662","CCACVL1_14499,CCACVL1_30761","B456_005G180100,B456_006G1895001","TCM_010471,TCM_012202","Pp3c17_6500,Pp3c18_15140,Pp3c21_15370,Pp3c26_12520",NA,NA,NA,NA,NA
"10","Q5VQG4",NA,NA,NA,"GSMUA_Achr6G08890_001","Zm00001d039685","SORBI_3003G052300","SETIT_000380mg","LPERR01G04180","OBART01G04520","OMERI01G04460","OGLUM01G04940","ORGLA01G0041400,ORGLA11G0211000","OPUNC01G04310","OS01G0170000","BGIOSGA002302","ONIVA01G04980","OB01G14270","ORUFI01G04710","KN538799.1_FG001","BRADI_2g04310v3","AET3Gv20201400","TRIDC3AG011150,TRIDC3BG015040","TRIUR3_24841","TraesCS3A02G092800,TraesCS3B02G108000,TraesCS3D02G092900","HORVU3Hr1G016430",NA,NA,NA,NA,NA,NA,NA,NA,"Tp57577_TGAC_v2_gene33607",NA,NA,NA,NA,NA,"PRUPE_5G169000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
