"UniProtID","PathwayID","Pathway.name","reaction.ID","Plant.Reactome.webcite","Reaction.name","plant.species"
"A0A0P0XII1","R-OSA-9611432","Recognition of fungal and bacterial pathogens and immunity response","R-OSA-9611571","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9611571","Fungal recognition step 2: CEBiP:chitin activates CERK1","Oryza sativa"
"A0A0P0XII1","R-OSA-9611432","Recognition of fungal and bacterial pathogens and immunity response","R-OSA-9611414","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9611414","Bacterial infection step 2: association of LYP4:peptidoglycan with CERK1 leading to CERK1 phosphorylation.","Oryza sativa"
"A0A0P0XII1","R-OSA-9611432","Recognition of fungal and bacterial pathogens and immunity response","R-OSA-9611501","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9611501","Bacterial pathogen recognition by LYP4 step 3: activation of Rac1 ","Oryza sativa"
"A0A0P0XII1","R-OSA-9611432","Recognition of fungal and bacterial pathogens and immunity response","R-OSA-9611566","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9611566","Fungal recognition step 2: LYP4:chitin activates CERK1 ","Oryza sativa"
"A0A0P0XII1","R-OSA-9611432","Recognition of fungal and bacterial pathogens and immunity response","R-OSA-9611550","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9611550","Bacterial infection step 2: association of LYP6:peptidoglycan with CERK1 leading to phosphorylation of CERK1","Oryza sativa"
"A0A0P0XII1","R-OSA-9611432","Recognition of fungal and bacterial pathogens and immunity response","R-OSA-9611522","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9611522","Fungal recognition by LYP4 step 3: activation of Rac1","Oryza sativa"
"A0A0P0XII1","R-OSA-9611432","Recognition of fungal and bacterial pathogens and immunity response","R-OSA-9611536","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9611536","Fungal recognition Step 3: activation of Rac1 by Chitin: CEBiP:-phospho-CERK1:RacGEF1 ","Oryza sativa"
"A0A0P0XII1","R-OSA-9611432","Recognition of fungal and bacterial pathogens and immunity response","R-OSA-9611583","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9611583","Fungal recognition by LYP6  step 3:  activation of   Rac1 ","Oryza sativa"
"A0A0P0XII1","R-OSA-9611432","Recognition of fungal and bacterial pathogens and immunity response","R-OSA-9611575","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9611575","Fungal recognition step 2: LYP6:chitin activates CERK1 ","Oryza sativa"
"A0A0P0XII1","R-OSA-9611432","Recognition of fungal and bacterial pathogens and immunity response","R-OSA-9611585","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9611585","Bacterial recognition by LYP6 step3:activation of Rac1 by LYP6:phospho-CERK1:RacGEF1 ","Oryza sativa"
"A0EQD4","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626473","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626473","Conversion of amylose to amylopectin","Oryza sativa"
"A0EQD4","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626348","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626348","Synthesis of amylose","Oryza sativa"
"A0EQD5","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626348","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626348","Synthesis of amylose","Oryza sativa"
"A0EQD5","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626473","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626473","Conversion of amylose to amylopectin","Oryza sativa"
