"","Pathway","Pathway.STID","Reaction","Reaction.STID","UniProtID","Oryza.sativa","Actinidia.chinensis","Aegilops.tauschii","Amborella.trichopoda","Arabidopsis.halleri","Arabidopsis.lyrata","Arabidopsis.thaliana","Arachis.duranensis","Arachis.ipaensis","Beta.vulgaris","Brachypodium.distachyon","Brassica.napus","Brassica.oleracea","Brassica.rapa","Cajanus.cajan","Capsicum.annuum","Chlamydomonas.reinhardtii","Chondrus.crispus","Cicer.arietinum","Citrus.sinensis","Coffea.canephora","Corchorus.capsularis","Cucumis.sativus","Cyanidioschyzon.merolae","Danio.rerio","Daucus.carota","Dioscorea.rotundata","Erythranthe.guttata","Eucalyptus.grandis","Fragaria.vesca","Galdieria.sulphuraria","Glycine.max","Gossypium.raimondii","Helianthus.annuus","Hordeum.vulgare","Jatropha.curcas","Leersia.perrieri","Lupinus.angustifolius","Malus.domestica","Manihot.esculenta","Medicago.truncatula","Musa.acuminata","Nicotiana.attenuata","Oryza.australiensis","Oryza.barthii","Oryza.brachyantha","Oryza.glaberrima","Oryza.glumaepatula","Oryza.longistaminata","Oryza.meridionalis","Oryza.meyeriana.var..granulata","Oryza.minuta","Oryza.nivara","Oryza.officinalis","Oryza.punctata","Oryza.rufipogon","Oryza.sativa.1","Oryza.sativa.aus.subgroup","Oryza.sativa.Indica.Group","Ostreococcus.lucimarinus","Panicum.hallii.FIL2","Panicum.hallii.var..hallii.HAL2","Phaseolus.vulgaris","Phoenix.dactylifera","Physcomitrella.patens","Picea.abies","Pinus.taeda","Populus.trichocarpa","Prunus.persica","Selaginella.moellendorffii","Setaria.italica","Solanum.lycopersicum","Solanum.tuberosum","Sorghum.bicolor","Synechocystis.sp..PCC.6803","Theobroma.cacao","Trifolium.pratense","Triticum.aestivum","Triticum.dicoccoides","Triticum.turgidum","Triticum.urartu","Vigna.angularis","Vigna.radiata","Vitis.vinifera","Zea.mays"
"1","6,7,4'-Trihydroxyisoflavone biosynthesis","R-OSA-1119448","2,6,7,4'-tetrahydroxyisoflavanone->6,7,4'-trihydroxyisoflavone+H2O","R-OSA-1120719","A2YM09, A3BKH7, A3BKI7, Q69UB1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Abscisic acid (ABA) mediated signaling","R-OSA-3899351","CPK6-like + 6 Ca++ -> activated CPK6-like","R-OSA-5221137","Q0DYK7, Q9FXQ3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Abscisic acid (ABA) mediated signaling","R-OSA-3899351","PP2C and SAPK8 form an PP2C:SAPK8 complex","R-OSA-3899370","Q0J2L7, Q5N9N2, Q6L4R7, Q6L5H6, Q75H77, Q75V57, Q84JI0",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Abscisic acid (ABA) mediated signaling","R-OSA-3899351","Dissociation of PP2C:SnRK2 heterodimer","R-OSA-3899377","Q0J2L7, Q5N9N2, Q6L4R7, Q6L5H6, Q75H77, Q75V57, Q84JI0",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Abscisic acid (ABA) mediated signaling","R-OSA-3899351","KAT1-like + ATP -> phospho-KAT1-like + ADP","R-OSA-4415096","Q6K3T2, Q75H77, Q75V57, Q7Y0B9",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Abscisic acid (ABA) mediated signaling","R-OSA-3899351","SLAC1-like + ATP => phospho-SLAC1-like + ATP","R-OSA-3899340","Q75H77, Q75V57, Q7XTX7, Q7Y0B9",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Abscisic acid (ABA) mediated signaling","R-OSA-3899351","Translocation of cytosolic phospho-bZIP transcription factors to nucleus","R-OSA-4415036","Q0D3H8, Q10M55, Q67TQ5, Q69TW5, Q6AVM5, Q6Z312",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Abscisic acid (ABA) mediated signaling","R-OSA-3899351","SnRK2 + ATP => phospho-SnRK2 + ADP","R-OSA-3899352","Q75H77, Q75V57, Q7Y0B9",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Abscisic acid (ABA) mediated signaling","R-OSA-3899351","bZIP(ABFs/AREBs) + ATP => phospho-bZIP transcription factors (ABRE binding) + ATP","R-OSA-3899390","Q0D3H8, Q10M55, Q67TQ5, Q69TW5, Q6AVM5, Q6Z312, Q75H77, Q75V57, Q7Y0B9",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Abscisic acid (ABA) mediated signaling","R-OSA-3899351","ABAR:ABA + PP2C => ABAR:ABA:PP2C","R-OSA-3899364","Q0J2L7, Q10MS2, Q5N9N2, Q5Z8S0, Q6H5Z4, Q6I5C3, Q6L4R7, Q6L5H6, Q7XBY6, Q84JI0, Q941W8",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
