,Rice reference genes,Gene orthology projections on various plant species using Compara (30%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UniProtID,O. Sativa ,Aegilops tauschii,Amborella trichopoda,Arabidopsis halleri,Arabidopsis lyrata,Arabidopsis thaliana,Beta vulgaris,Brachypodium distachyon,Brassica napus,Brassica oleracea,Brassica rapa,Chlamydomonas reinhardtii,Chondrus crispus,Corchorus capsularis,Cucumis sativus,Cyanidioschyzon merolae,Daucus carota,Dioscorea rotundata,Galdieria sulphuraria,Glycine max,Gossypium raimondii,Helianthus annuus,Hordeum vulgare,Leersia perrieri,Lupinus angustifolius,Manihot esculenta,Medicago truncatula,Musa acuminata,Nicotiana attenuata,Oryza barthii,Oryza brachyantha,Oryza glaberrima,Oryza glumaepatula,Oryza indica,Oryza longistaminata,Oryza meridionalis,Oryza nivara,Oryza punctata,Oryza rufipogon,Ostreococcus lucimarinus,Phaseolus vulgaris,Physcomitrella patens,Populus trichocarpa,Prunus persica,Selaginella moellendorffii,Setaria italica,Solanum lycopersicum,Solanum tuberosum,Sorghum bicolor,Theobroma cacao,Trifolium pratense,Triticum aestivum,Triticum dicoccoides,Triticum urartu,Vigna angularis,Vigna radiata,Vitis vinifera,Zea mays
 Q52RG7,OS01G0100900,AET3Gv20183300,,g12946,fgenesh2_kg.1__2954__AT1G27980.1,AT1G27980,BVRB_6g150440,BRADI_2g03740v3,"GSBRNA2T00049975001,GSBRNA2T00150637001",Bo3g143000,Bra010909,CHLRE_03g155051v5,,CCACVL1_05340,Csa_6G094720,CMT631C,DCAR_024662,Dr09863,,"GLYMA_02G097200,GLYMA_18G284300",B456_002G181300,"HannXRQ_Chr08g0209781,HannXRQ_Chr08g0209891",HORVU3Hr1G015150,LPERR01G00060,TanjilG_11941,MANES_12G008600,MTR_7g022310,GSMUA_Achr6G06370_001,A4A49_05213,OBART01G00090,OB01G10060,ORGLA01G0000100,OGLUM01G00080,BGIOSGA002576,KN538826.1_FG024,,ONIVA01G00170,OPUNC01G00070,ORUFI01G00080,OSTLU_119543,PHAVU_008G017200g,Pp3c25_6390,POPTR_003G168800v3,PRUPE_1G222900,"SELMODRAFT_410502,SELMODRAFT_411607",SETIT_000972mg,Solyc05g015860.3,PGSC0003DMG400019810,SORBI_3003G109100,TCM_008631,Tp57577_TGAC_v2_gene2913,"TraesCS3A02G085400,TraesCS3B02G100600,TraesCS3D02G085400","TRIDC3AG010280,TRIDC3BG013920",TRIUR3_09166,LR48_Vigan03g010800,vigra.VC1973A.gnm6.ann1.Vradi04g10310,VIT_01s0010g03940,Zm00001d008389
 Q9FTZ2,OS01G0103600,AET3Gv20173900,AMTR_s00002p00072230,g13839,fgenesh2_kg.1__2185__AT1G20050.1,AT1G20050,"BVRB_8g193480,BVRB_8g193590",BRADI_2g03530v3,"GSBRNA2T00022402001,GSBRNA2T00042955001,GSBRNA2T00076632001,GSBRNA2T00079685001",Bo5g029120,"Bra012204,Bra025788",CHLRE_12g557900v5,,"CCACVL1_08116,CCACVL1_21756",Csa_4G007050,,DCAR_019172,,,"GLYMA_09G186700,GLYMA_09G186800,GLYMA_09G186900",B456_006G002800,HannXRQ_Chr04g0124971,HORVU3Hr1G014290,"LPERR01G00200,LPERR01G36290",TanjilG_22310,MANES_12G130500,MTR_6g084920,GSMUA_Achr6G06170_001,A4A49_31897,OBART01G00270,"OB06G24600,OB11G21170",ORGLA01G0002100,OGLUM01G00250,BGIOSGA002561,,,ONIVA01G00190,OPUNC01G00240,ORUFI01G00230,,PHAVU_004G160000g,Pp3c9_19720,"POPTR_001G070300v3,POPTR_003G160500v3",PRUPE_1G211800,"SELMODRAFT_449563,SELMODRAFT_449597,SELMODRAFT_449598,SELMODRAFT_449599",SETIT_002887mg,Solyc06g082980.3,PGSC0003DMG400027684,"SORBI_3003G106600,SORBI_3003G106800",TCM_003533,"Tp57577_TGAC_v2_gene21858,Tp57577_TGAC_v2_gene38962","TraesCS3A02G079400,TraesCS3B02G094700,TraesCS3D02G079800,TraesCS7D02G068300","TRIDC3AG009460,TRIDC3BG013320",TRIUR3_10786,LR48_Vigan10g019100,vigra.VC1973A.gnm6.ann1.Vradi01g04390,VIT_06s0004g02100,
 Q8W250,OS01G0106900,"AET3Gv20000300,AET7Gv20119900",AMTR_s00058p00194850,g12277,scaffold_802953.1,AT5G62790,BVRB_5g117060,BRADI_2g00650v3,"GSBRNA2T00020045001,GSBRNA2T00094633001,GSBRNA2T00109912001,GSBRNA2T00141493001","Bo3g107120,Bo9g015200","Bra010123,Bra035881",CHLRE_12g546050v5,CHC_T00009191001,CCACVL1_12407,Csa_1G004930,CMG148C,DCAR_026133,Dr06953,Gasu_57430,"GLYMA_05G037500,GLYMA_16G089000,GLYMA_17G089600","B456_006G189200,B456_007G001700","HannXRQ_Chr05g0153451,HannXRQ_Chr05g0156211,HannXRQ_Chr09g0272201,HannXRQ_Chr16g0517311",HORVU3Hr1G000390,LPERR01G00440,"TanjilG_25308,TanjilG_27581,TanjilG_29079,TanjilG_31487","MANES_06G104700,MANES_14G065900","MTR_4g106870,MTR_8g012565","GSMUA_Achr2G22890_001,GSMUA_Achr3G20790_001",,OBART01G00500,OB01G10450,"ORGLA01G0004200,ORGLA07G0231200",OGLUM01G00520,BGIOSGA002548,KN538831.1_FG021,,ONIVA01G00460,OPUNC01G00440,ORUFI01G00480,OSTLU_31255,"PHAVU_003G200300g,PHAVU_010G023000g","Pp3c24_8730,Pp3c8_12290","POPTR_012G080900v3,POPTR_015G076200v3",PRUPE_5G174000,"SELMODRAFT_229487,SELMODRAFT_229643",SETIT_001299mg,Solyc03g114340.3,PGSC0003DMG400024503,SORBI_3003G103300,TCM_012070,"Tp57577_TGAC_v2_gene31563,Tp57577_TGAC_v2_gene37486","TraesCS3A02G001700,TraesCS3B02G000700,TraesCS4A02G442600,TraesCS7A02G056000,TraesCS7D02G050900,TraesCSU02G056300","TRIDC3AG003200,TRIDC3BG000140,TRIDC4AG064240,TRIDC7AG005840","TRIUR3_02082,TRIUR3_29442",LR48_Vigan01g236600,"vigra.VC1973A.gnm6.ann1.Vradi07g14770,vigra.VC1973A.gnm6.ann1.Vradi09g08310",VIT_17s0000g08390,"Zm00001d008427,Zm00001d040163"
 Q0JR55,OS01G0118300,AET3Gv20051500,AMTR_s00006p00177250,g10073,fgenesh2_kg.1__1653__AT1G15110.1,AT1G15110,BVRB_1g011180,BRADI_2g01370v3,"GSBRNA2T00059714001,GSBRNA2T00059785001,GSBRNA2T00068175001,GSBRNA2T00136622001","Bo5g020540,Bo8g106230",,,,CCACVL1_20976,"Csa_5G576650,Csa_5G611040",,DCAR_030184,,,"GLYMA_10G268300,GLYMA_20G122800","B456_006G006000,B456_008G157600","HannXRQ_Chr14g0459241,HannXRQ_Chr17g0553131",HORVU3Hr1G002790,LPERR01G01170,"TanjilG_15829,TanjilG_18346,TanjilG_30305","MANES_06G063400,MANES_14G109300",MTR_1g109120,,A4A49_26601,OBART01G01200,OB01G11220,ORGLA01G0010900,OGLUM01G01330,BGIOSGA002655,KN540570.1_FG003,OMERI01G00680,ONIVA01G01390,"OPUNC01G01030,OPUNC01G01040",ORUFI01G01260,OSTLU_3295,PHAVU_007G034000g,"Pp3c26_4170,Pp3c4_15740","POPTR_008G126100v3,POPTR_010G117500v3",PRUPE_1G319700,"SELMODRAFT_121992,SELMODRAFT_92791",SETIT_001555mg,"Solyc04g007520.3,Solyc05g008580.3",PGSC0003DMG400030564,SORBI_3003G095800,TCM_009019,Tp57577_TGAC_v2_gene4874,"TraesCS3A02G021500,TraesCS3B02G024600,TraesCS3D02G025400","TRIDC3AG001120,TRIDC3BG003970",TRIUR3_08324,LR48_Vigan609s000100,vigra.VC1973A.gnm6.ann1.Vradi08g20860,"VIT_01s0011g04370,VIT_17s0000g03010","Zm00001d008493,Zm00001d040076"
 Q0JR06,OS01G0128000,AET3Gv20069200,AMTR_s00079p00140660,"g08163,g14768",fgenesh1_pg.C_scaffold_2001171,"AT1G25340,AT1G68320",BVRB_6g141520,BRADI_2g01960v3,"GSBRNA2T00013352001,GSBRNA2T00070235001,GSBRNA2T00074286001,GSBRNA2T00088169001,GSBRNA2T00093687001,GSBRNA2T00102070001,GSBRNA2T00113102001,GSBRNA2T00117331001,GSBRNA2T00142385001","Bo2g057760,Bo5g043390,Bo6g097180,Bo6g106730,Bo7g050560","Bra004041,Bra004297,Bra012482,Bra024760,Bra033948",,,"CCACVL1_04724,CCACVL1_22656",Csa_6G040640,,"DCAR_023650,DCAR_030168",,,"GLYMA_05G234600,GLYMA_07G092800,GLYMA_08G042100,GLYMA_09G183400,GLYMA_10G273000,GLYMA_20G117000","B456_001G075000,B456_002G218600,B456_006G060300,B456_008G287100","HannXRQ_Chr08g0213601,HannXRQ_Chr11g0325431,HannXRQ_Chr14g0430761,HannXRQ_Chr17g0552341,HannXRQ_Chr17g0567551,HannXRQ_Chr17g0567561",HORVU3Hr1G004050,LPERR01G01750,"TanjilG_15849,TanjilG_29228,TanjilG_32798","MANES_05G114400,MANES_06G066600,MANES_14G104200,MANES_S048300",MTR_1g110460,"GSMUA_Achr10G19840_001,GSMUA_Achr11G13200_001,GSMUA_Achr1G21020_001,GSMUA_Achr2G22640_001,GSMUA_Achr3G01370_001,GSMUA_Achr3G21060_001,GSMUA_Achr6G09760_001,GSMUA_Achr8G18460_001","A4A49_24145,A4A49_36386",OBART01G01830,OB01G11750,ORGLA01G0016500,OGLUM01G02010,BGIOSGA002469,KN541795.1_FG002,OMERI01G01310,ONIVA01G01990,OPUNC01G01580,ORUFI01G01910,,"PHAVU_002G317000g,PHAVU_003G094600g,PHAVU_007G028700g",,"POPTR_008G122100v3,POPTR_010G123000v3,POPTR_012G055600v3,POPTR_015G046200v3","PRUPE_1G313300,PRUPE_5G222400",,SETIT_003873mg,"Solyc03g119370.2,Solyc05g009230.2","PGSC0003DMG400005641,PGSC0003DMG400014550",SORBI_3003G087600,"TCM_009642,TCM_012363","Tp57577_TGAC_v2_gene15175,Tp57577_TGAC_v2_gene4845","TraesCS3A02G044700,TraesCS3B02G039100,TraesCS3D02G036200","TRIDC3AG005070,TRIDC3BG005370",TRIUR3_09345,"LR48_Vigan02g246400,LR48_Vigan10g022500,LR48_Vigan847s001900",vigra.VC1973A.gnm6.ann1.Vradi07g27760,"VIT_01s0011g03730,VIT_17s0000g03560","Zm00001d008528,Zm00001d040019"
 Q943R3,OS01G0134700,AET3Gv20082300,,g04130,scaffold_202318.1,AT1G73805,BVRB_5g111120,BRADI_2g02310v3,"GSBRNA2T00049054001,GSBRNA2T00099474001,GSBRNA2T00103456001","Bo6g087500,Bo6g118100","Bra003828,Bra015964",,,CCACVL1_29608,,,DCAR_023217,,,"GLYMA_05G237200,GLYMA_07G093900,GLYMA_08G044400,GLYMA_09G182400","B456_006G059900,B456_008G287500",HannXRQ_Chr17g0558321,HORVU3Hr1G007290,LPERR01G02090,"TanjilG_22287,TanjilG_32808","MANES_01G014500,MANES_S034100","MTR_6g083320,MTR_6g083730,MTR_8g104490,MTR_8g104510","GSMUA_Achr1G21130_001,GSMUA_Achr2G14630_001,GSMUA_Achr6G03300_001,GSMUA_Achr8G17930_001","A4A49_40037,A4A49_43559",OBART01G02270,OB01G12150,ORGLA01G0019200,OGLUM01G02400,BGIOSGA002720,KN538959.1_FG010,OMERI01G02160,ONIVA01G02440,OPUNC01G01940,ORUFI01G02340,,"PHAVU_002G318100g,PHAVU_004G155900g",Pp3c10_2870,"POPTR_012G054900v3,POPTR_015G045300v3",PRUPE_5G223600,"SELMODRAFT_42312,SELMODRAFT_43458",SETIT_001447mg,"Solyc03g119250.3,Solyc12g036390.2","PGSC0003DMG400005390,PGSC0003DMG400005649",SORBI_3003G083200,TCM_012384,"Tp57577_TGAC_v2_gene32681,Tp57577_TGAC_v2_gene32685","TraesCS3A02G037700,TraesCS3B02G045900,TraesCS3D02G041800","TRIDC3AG004090,TRIDC3BG006190",TRIUR3_22931,"LR48_Vigan232s001900,LR48_Vigan847s000800","vigra.VC1973A.gnm6.ann1.Vradi01g04750,vigra.VC1973A.gnm6.ann1.Vradi07g27840","VIT_17s0000g03370,VIT_17s0000g03380,VIT_17s0000g03390","Zm00001d008570,Zm00001d039963"
 Q0JQF9,OS01G0164800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHAVU_006G005900g,,,,,,,,,,Tp57577_TGAC_v2_gene18982,,,,,,,
 Q0JQF8,OS01G0164900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q5VQG8,OS01G0169800,"AET1Gv20582900,AET3Gv20201800",AMTR_s00011p00049200,"g03796,g10356,g13662","fgenesh1_pg.C_scaffold_1002142,fgenesh2_kg.2__1312__AT1G70560.1,fgenesh2_kg.7__1807__AT4G24670.2","AT1G23320,AT1G70560,AT4G24670","BVRB_5g117730,BVRB_6g148060",BRADI_2g04290v3,"GSBRNA2T00030731001,GSBRNA2T00030967001,GSBRNA2T00056336001,GSBRNA2T00079581001,GSBRNA2T00079585001,GSBRNA2T00116079001,GSBRNA2T00116561001,GSBRNA2T00119371001","Bo1g039220,Bo2g068320,Bo5g039430,Bo5g039440,Bo6g112150","Bra007924,Bra013823,Bra016203,Bra024582,Bra024585",,,"CCACVL1_14499,CCACVL1_30761",,,"DCAR_007465,DCAR_024445,DCAR_026162",,,"GLYMA_01G027400,GLYMA_02G037600,GLYMA_04G186700,GLYMA_05G040400,GLYMA_06G179000,GLYMA_17G086500","B456_005G180100,B456_006G1895001","HannXRQ_Chr07g0197631,HannXRQ_Chr11g0348361,HannXRQ_Chr16g0504651,HannXRQ_Chr17g0569941",HORVU3Hr1G016490,LPERR01G04160,"TanjilG_20724,TanjilG_25564,TanjilG_27565,TanjilG_31471","MANES_12G024800,MANES_14G062400","MTR_3g077250,MTR_4g105220,MTR_5g033510,MTR_5g033520","GSMUA_Achr10G20770_001,GSMUA_Achr3G20730_001,GSMUA_Achr6G08900_001",A4A49_02796,OBART01G04500,OB01G14240,ORGLA01G0041100,OGLUM01G04920,BGIOSGA002304,KN538799.1_FG008,OMERI01G04440,ONIVA01G04950,OPUNC01G04290,ORUFI01G04690,,"PHAVU_002G059200g,PHAVU_003G203500g,PHAVU_009G175300g","Pp3c17_6500,Pp3c18_15140,Pp3c21_15370,Pp3c26_12520","POPTR_008G187800v3,POPTR_010G044500v3,POPTR_012G083300v3,POPTR_015G081900v3","PRUPE_1G248200,PRUPE_1G248300,PRUPE_5G168300","SELMODRAFT_171289,SELMODRAFT_176918",SETIT_001052mg,"Solyc03g112460.3,Solyc05g031600.2,Solyc06g071640.3","PGSC0003DMG400007680,PGSC0003DMG400007681,PGSC0003DMG400018110,PGSC0003DMG400018931,PGSC0003DMG400025405,PGSC0003DMG400027079,PGSC0003DMG400029970,PGSC0003DMG400046885",SORBI_3003G052700,"TCM_010471,TCM_012202","Tp57577_TGAC_v2_gene17780,Tp57577_TGAC_v2_gene37452,Tp57577_TGAC_v2_gene38787","TraesCS1A02G233800,TraesCS1B02G249600,TraesCS1D02G238100,TraesCS3A02G093000,TraesCS3B02G108200,TraesCS3D02G093300","TRIDC1AG035170,TRIDC1BG041120,TRIDC3AG011180,TRIDC3BG015070","TRIUR3_06775,TRIUR3_28891","LR48_Vigan01g233000,LR48_Vigan03g318400,LR48_Vigan04g065600","vigra.VC1973A.gnm6.ann1.Vradi0223s00120,vigra.VC1973A.gnm6.ann1.Vradi11g09740","VIT_00s0225g00230,VIT_00s0394g00040,VIT_17s0000g08990","Zm00001d008700,Zm00001d039691"
